tissue;class;class_marker;type_marker;full_name;common_name;subcluster;tissue_subcluster
FC;NEURON;Slc17a7;Nptxr-Fos;Neuron.Slc17a7.Nptxr-Fos;Deep layer pyramidal cells (IEG);6-5;FC_6-5
FC;NEURON;Slc17a7;Nptxr-Drd1;Neuron.Slc17a7.Nptxr-Drd1;Deep layer pyramidal cells;6-6;FC_6-6
FC;NEURON;Slc17a7;Parm1.Ndnf;Neuron.Slc17a7.Parm1.Ndnf;Deep layer pyramidal cells--layer 5;7-1;FC_7-1
FC;NEURON;Slc17a7;Parm1.Nnat;Neuron.Slc17a7.Parm1.Nnat;Deep layer pyramidal cells--layer 5;7-2;FC_7-2
FC;NEURON;Slc17a7;Parm1.Lsamp;Neuron.Slc17a7.Parm1.Lsamp;Deep layer pyramidal cells--layer 5;7-3;FC_7-3
FC;NEURON;Slc17a7;Parm1.Fos;Neuron.Slc17a7.Parm1.Fos;Deep layer pyramidal cells--layer 5 (IEG);7-4;FC_7-4
FC;NEURON;Slc17a7;Parm1.Cadm2;Neuron.Slc17a7.Parm1.Cadm2;Deep layer pyramidal cells--layer 5;7-5;FC_7-5
FC;NEURON;Slc17a7;Parm1.Nefm;Neuron.Slc17a7.Parm1.Nefm;Deep layer pyramidal cells--layer 5;7-6;FC_7-6
FC;NEURON;Slc17a7;Parm1.Tshz2;Neuron.Slc17a7.Parm1.Tshz2;Deep layer pyramidal cells--layer 5;7-7;FC_7-7
FC;ASTROCYTE;Gja1;;Astrocyte.Gja1;Gfap- astrocytes;8-1;FC_8-1
FC;ASTROCYTE;Gja1;Myoc;Astrocyte.Gja1.Myoc;Gfap+ astrocytes;8-2;FC_8-2
FC;OLIGODENDROCYTE;Tnf;Igsf8;Oligodendrocyte.Tnf.Igsf8;Oligodendrocyte.Tnf.Igsf8;9-1;FC_9-1
FC;OLIGODENDROCYTE;Tnf;Igsf8-Ctps;Oligodendrocyte.Tnf.Igsf8-Ctps;Oligodendrocyte.Tnf.Igsf8-Ctps;9-2;FC_9-2
FC;OLIGODENDROCYTE;Tnf;Kif5b;Oligodendrocyte.Tnf.Kif5b;Oligodendrocyte.Tnf.Kif5b;9-3;FC_9-3
FC;OLIGODENDROCYTE;Tnf;Ptgds;Oligodendrocyte.Tnf.Ptgds;Oligodendrocyte.Tnf.Ptgds;9-4;FC_9-4
FC;OLIGODENDROCYTE;Tnf;Klk6;Oligodendrocyte.Tnf.Klk6;Oligodendrocyte.Tnf.Klk6;9-5;FC_9-5
